cve_id,published_date,updated_date,cisa_kev,cisa_kev_date,cvss_version,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,scope,attack_requirements,confidentiality_impact,integrity_impact,availability_impact,impacted_vendor,impacted_products,vulnerable_versions,cwe_number,cwe_description,ssvc_timestamp,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,ssvc_decision
CVE-1999-0035,1999-09-29T04:00:00,2025-10-20T17:45:44.427000,False,,3.1,5.4,MEDIUM,NETWORK,LOW,LOW,NONE,UNCHANGED,N/A,LOW,LOW,NONE,n/a,n/a,n/a,CWE-364,CWE-364 Signal Handler Race Condition,2025-10-20T17:43:58.080852,none,False,partial,Track
CVE-1999-0038,1999-09-29T04:00:00,2024-09-12T14:37:48.860000,False,,3.1,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"xlock,n/a","0,n/a",CWE-120,CWE-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),2024-09-04T14:24:32.065476,none,False,total,Track
CVE-1999-0036,1999-09-29T04:00:00,2024-10-29T14:07:28.583000,False,,3.1,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"irix,n/a","5.0,5.0.1,5.1,5.1.1,5.2,5.3,6.0,6.0.1,6.1,6.2,6.3,6.4,n/a",CWE-434,CWE-434 Unrestricted Upload of File with Dangerous Type,2024-08-01T19:38:13.056705,none,False,total,Track
CVE-1999-0013,1999-09-29T04:00:00,2024-08-01T19:02:44.132000,False,,3.1,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"ssh,n/a","1.2.0,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.2.7,1.2.8,1.2.9,1.2.10,1.2.11,1.2.12,1.2.13,1.2.14,n/a",CWE-522,CWE-522 Insufficiently Protected Credentials,2024-08-01T18:59:12.970313,none,False,partial,Track
CVE-1999-0041,1999-09-29T04:00:00,2024-09-17T14:25:15.473000,False,,,,,,,,,N/A,N/A,[],[],[],n/a,n/a,n/a,,,2024-09-04T14:09:51.440131,none,False,partial,Track
CVE-1999-0012,1999-09-29T04:00:00,2025-04-09T18:30:54.684000,False,,3.1,7.0,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,N/A,LOW,HIGH,LOW,n/a,n/a,n/a,CWE-290,CWE-290 Authentication Bypass by Spoofing,2025-04-07T18:20:15.808307,none,False,partial,Track
CVE-1999-0011,1999-09-29T04:00:00,2025-04-09T18:29:26.012000,False,,3.1,5.4,MEDIUM,ADJACENT_NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,LOW,NONE,LOW,n/a,n/a,n/a,CWE-1067,CWE-1067 Excessive Execution of Sequential Searches of Data Resource,2025-04-07T18:22:05.623556,none,False,partial,Track
CVE-1999-0159,1999-09-29T04:00:00,2025-08-27T18:38:54.613000,False,,3.1,3.5,LOW,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,N/A,NONE,NONE,LOW,n/a,n/a,n/a,CWE-400,CWE-400 Uncontrolled Resource Consumption,2025-08-27T18:38:07.688027,none,False,partial,Track
CVE-1999-0022,1999-09-29T04:00:00,2024-10-29T14:08:24.263000,False,,3.1,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"irix,irix,irix,bsd_os,freebsd,freebsd,freebsd,hp-ux,aix,solaris,sunos,n/a","5.0,5.0.1,5.1,5.1.1,5.2,5.3,6.0,6.0.1,6.1,6.2,6.3,6.4,5.3,6.0.1,1.1,2.0,2.0.5,2.1.0,10.00,3.1,3.2,3.2.4,3.2.5,4.1,4.1.1,4.1.2,4.1.3,4.1.4,4.1.5,4.2,4.1.3,4.1.1,4.1.2,4.1.3u1,5.0,5.1,5.2,5.3,5.4,n/a",CWE-125,CWE-125 Out-of-bounds Read,2024-08-01T19:04:07.612814,none,False,total,Track
CVE-1999-0059,1999-09-29T04:00:00,2024-08-01T20:35:57.570000,False,,3.1,7.3,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,LOW,LOW,LOW,n/a,"irix,n/a","5.3,6.1,6.2,6.3,n/a",CWE-200,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,2024-08-01T20:34:06.831485,none,False,partial,Track
CVE-1999-0066,1999-09-29T04:00:00,2024-08-01T16:27:57.424000,False,,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"anyform,n/a","1.0,2.0,n/a",,,2024-08-01T20:49:31.626761,none,False,total,Track
CVE-1999-0069,1999-09-29T04:00:00,2024-08-01T19:55:25.041000,False,,3.1,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"sunos,sunos,n/a","5.5,5.5.1,n/a",CWE-119,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,2024-08-01T19:51:45.938973,none,False,total,Track
CVE-1999-0043,1999-09-29T04:00:00,2024-08-01T20:03:35.981000,False,,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"inn,news_server,bsd_os,openlinux,linux,linux,goah_intrasv,goah_networksv,n/a","1.4sec,1.4sec2,1.4unoff3,1.4unoff4,1.5,1.1,2.1,1.0,4.0,4.1,1.1,1.2,2.2,3.1,n/a",CWE-78,CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2024-08-01T19:56:17.928328,none,False,total,Track
CVE-1999-0468,1999-09-29T04:00:00,2025-08-25T18:51:48.046000,False,,3.1,8.2,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,LOW,NONE,n/a,n/a,n/a,CWE-200,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,2025-08-25T18:47:58.178455,none,False,partial,Track
CVE-1999-0006,1999-09-29T04:00:00,2024-10-29T14:08:55.394000,False,,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"qpopper,n/a","2.4,n/a",CWE-125,CWE-125 Out-of-bounds Read,2024-08-01T18:51:01.909711,none,False,total,Track
CVE-1999-1568,2004-09-01T04:00:00,2025-01-16T17:40:42.694000,False,,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,NONE,NONE,HIGH,n/a,n/a,n/a,CWE-193,CWE-193 Off-by-one Error,2025-01-16T17:39:39.255679,none,False,partial,Track
CVE-1999-0052,1999-09-29T04:00:00,2024-08-01T20:32:09.970000,False,,3.1,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,NONE,NONE,HIGH,n/a,"bsd_os,freebsd,freebsd,freebsd,freebsd,freebsd,freebsd,freebsd,freebsd,freebsd,openbsd,openbsd,openbsd,n/a","4.0,1.1.5.1,2.0,2.0.5,2.1.0,2.1.5,2.1.6,2.1.7.1,2.2.2,2.2.8,2.2,2.3,2.4,n/a",CWE-476,CWE-476 NULL Pointer Dereference,2024-08-01T20:17:55.821578,none,False,partial,Track
CVE-1999-1413,2001-09-12T04:00:00,2024-08-01T17:11:03.182000,False,,,,,,,,,N/A,N/A,[],[],[],n/a,n/a,n/a,,,2024-08-01T19:40:04.144434,none,False,partial,Track
CVE-1999-0029,1999-09-29T04:00:00,2024-10-29T14:07:56.381000,False,,3.1,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"irix,n/a","0,n/a",CWE-125,CWE-125 Out-of-bounds Read,2024-08-01T19:28:25.242481,none,False,total,Track
CVE-1999-1588,2006-04-21T10:00:00,2024-09-16T18:19:09.412000,False,,3.1,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"solaris,solaris,solaris,n/a","2.4,2.5,2.5.1,n/a",CWE-119,CWE-119 Improper Restriction of Operations within the Bounds of a Memory Buffer,2024-08-01T18:55:51.139162,none,False,total,Track
CVE-1999-0084,1999-09-29T04:00:00,2024-08-01T20:39:56.806000,False,,3.1,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,N/A,HIGH,HIGH,HIGH,n/a,"nfs,n/a","0,n/a",CWE-269,CWE-269 Improper Privilege Management,2024-08-01T20:30:39.205373,none,False,total,Track
