cve_id,published_date,updated_date,cisa_kev,cisa_kev_date,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,ssvc_timestamp,ssvc_exploitation,ssvc_automatable,ssvc_technical_impact,ssvc_decision,impacted_vendor,impacted_products,vulnerable_versions,cwe_number,cwe_description
CVE-1999-0006,1999-09-29T04:00:00,2024-10-29T14:08:55.394Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-08-01T18:51:01.909711Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-125,CWE-125 Out-of-bounds Read
CVE-1999-0011,1999-09-29T04:00:00.000Z,2025-04-09T18:29:26.012Z,FALSE,,5.4,MEDIUM,ADJACENT_NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,LOW,2025-04-07T18:22:05.623556Z,none,no,partial,Track,n/a,n/a,n/a,CWE-1067,CWE-1067 Excessive Execution of Sequential Searches of Data Resource
CVE-1999-0012,1999-09-29T04:00:00.000Z,2025-04-09T18:30:54.684Z,FALSE,,7,HIGH,NETWORK,HIGH,NONE,NONE,UNCHANGED,LOW,HIGH,LOW,2025-04-07T18:20:15.808307Z,none,no,partial,Track,n/a,n/a,n/a,CWE-290,CWE-290 Authentication Bypass by Spoofing
CVE-1999-0013,1999-09-29T04:00:00,2024-08-01T19:02:44.132Z,FALSE,,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-08-01T18:59:12.970313Z,none,yes,partial,Track,n/a,n/a,n/a,CWE-522,CWE-522 Insufficiently Protected Credentials
CVE-1999-0022,1999-09-29T04:00:00,2024-10-29T14:08:24.263Z,FALSE,,7.8,HIGH,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-08-01T19:04:07.612814Z,none,no,total,Track,n/a,n/a,n/a,CWE-125,CWE-125 Out-of-bounds Read
CVE-1999-0029,1999-09-29T04:00:00,2024-10-29T14:07:56.381Z,FALSE,,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-08-01T19:28:25.242481Z,none,no,total,Track,n/a,n/a,n/a,CWE-125,CWE-125 Out-of-bounds Read
CVE-1999-0036,1999-09-29T04:00:00,2024-10-29T14:07:28.583Z,FALSE,,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-08-01T19:38:13.056705Z,none,no,total,Track,n/a,n/a,n/a,CWE-434,CWE-434 Unrestricted Upload of File with Dangerous Type
CVE-1999-0038,1999-09-29T04:00:00,2024-09-12T14:37:48.860Z,FALSE,,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-09-04T14:24:32.065476Z,none,no,total,Track,n/a,n/a,n/a,CWE-120,CWE-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-1999-0041,1999-09-29T04:00:00,2024-09-17T14:25:15.473Z,FALSE,,,,,,,,,,,,2024-09-04T14:09:51.440131Z,none,no,partial,Track,n/a,n/a,n/a,,
CVE-1999-0043,1999-09-29T04:00:00,2024-08-01T20:03:35.981Z,FALSE,,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-08-01T19:56:17.928328Z,none,yes,total,Attend,n/a,n/a,n/a,CWE-78,CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
